"date","water_temp"
2020-02-09,11.45
2020-02-10,15.28
2020-02-11,12.5
2020-02-12,13.47
2020-02-13,14.45
2020-02-14,13.4
2020-02-15,12.58
2020-02-16,13.55
2020-02-17,14.15
2020-02-18,12.99
2020-02-19,11.86
2020-02-20,12.61
2020-02-21,12.72
2020-02-22,12.27
2020-02-23,14.04
2020-02-24,13.14
2020-02-25,10.96
2020-02-26,12.76
2020-02-27,13.62
2020-02-28,12.42
2020-02-29,16.4
2020-03-01,16.21
2020-03-02,13.55
2020-03-03,12.39
2020-03-04,10.92
2020-03-05,15.54
2020-03-06,12.54
2020-03-07,11.11
2020-03-08,12.2
2020-03-09,12.5
2020-03-10,12.95
2020-03-11,13.55
2020-03-12,14.49
2020-03-13,14.86
2020-03-14,14.3
2020-03-15,13.55
2020-03-16,14.34
2020-03-17,14.64
2020-03-18,14.11
2020-03-19,12.16
2020-03-20,12.16
2020-03-21,12.73
2020-03-22,14.68
2020-03-23,14.22
2020-03-24,13.59
2020-03-25,10.96
2020-03-26,8.562
2020-03-27,10.51
2020-03-28,14.15
2020-03-29,13.36
2020-03-30,11.9
2020-03-31,12.54
2020-04-01,12.12
2020-04-02,12.5
2020-04-03,12.2
2020-04-04,12.8
2020-04-05,13.06
2020-04-06,13.44
2020-04-07,14.45
2020-04-08,15.09
2020-04-09,14.98
2020-04-10,14.41
2020-04-11,14.52
2020-04-12,14.53
2020-04-13,12.95
2020-04-14,15.54
2020-04-15,14.45
2020-04-16,17.08
2020-04-17,16.89
2020-04-18,17.6
2020-04-19,16.62
2020-04-20,17.22
2020-04-21,15.35
2020-04-22,14.98
2020-04-23,17.34
2020-04-24,16.59
2020-04-25,16.06
2020-04-26,16.4
2020-04-27,16.51
2020-04-28,16.96
2020-04-29,15.65
2020-04-30,18.69
2020-05-01,19.25
2020-05-02,17.67
2020-05-03,18.42
2020-05-04,19.03
2020-05-05,19.03
2020-05-06,19.62
2020-05-07,19.1
2020-05-08,19.1
2020-05-09,16.21
2020-05-10,17.19
2020-05-11,18.28
2020-05-12,16.59
2020-05-13,19.7
2020-05-14,16.66
2020-05-15,17.45
2020-05-16,18.84
2020-05-17,18.54
2020-05-18,18.61
2020-05-19,20
2020-05-20,20.56
2020-05-21,21.61
2020-05-22,21.01
2020-05-23,20.34
2020-05-24,21.24
2020-05-25,20.19
2020-05-26,20
2020-05-27,19.74
2020-05-28,19.78
2020-05-29,19.25
2020-05-30,19.4
2020-05-31,19.14
2020-06-01,20.68
2020-06-02,20
2020-06-03,20.19
2020-06-04,17.56
2020-06-05,17.45
2020-06-06,18.72
2020-06-07,18.46
2020-06-08,17.3
2020-06-09,15.88
2020-06-10,16.85
2020-06-11,18.54
2020-06-12,19.59
2020-06-13,20.19
2020-06-14,18.35
2020-06-15,19.89
2020-06-16,19.03
2020-06-17,18.91
2020-06-18,18.16
2020-06-19,19.47
2020-06-20,20.6
2020-06-21,21.8
2020-06-22,21.5
2020-06-23,22.47
2020-06-24,21.88
2020-06-25,22.32
2020-06-26,22.78
2020-06-27,22.06
2020-06-28,23.22
2020-06-29,22.44
2020-06-30,22.85
2020-07-01,24.31
2020-07-02,23.68
2020-07-03,20.41
2020-07-04,22.03
2020-07-05,22.92
2020-07-06,22.55
2020-07-07,22.92
2020-07-08,22.96
2020-07-09,23.22
2020-07-10,23.11
2020-07-11,22.85
2020-07-12,22.06
2020-07-13,24.09
2020-07-14,22.85
2020-07-15,20.86
2020-07-16,21.88
2020-07-17,22.78
2020-07-18,22.33
2020-07-19,23.15
2020-07-20,23.04
2020-07-21,22.96
2020-07-22,22.51
2020-07-23,24.54
2020-07-24,23.97
2020-07-25,23.45
2020-07-26,23.6
2020-07-27,23.9
2020-07-28,23.75
2020-07-29,24.12
2020-07-30,24.05
2020-07-31,23.97
